Name,Company,Built,Capacity,Crew,EnrouteDuration,OriginPort,OriginCountry,DestinationPort,DestinationCountry
Sed Est,Zim Integrated Shipping Services,1963,16300,Panama,51,Hong Kong,China,Tanger Med,Morocco
Distinctio Asperiores,CMA CGM,2007,17200,French Polynesia,35,Hong Kong,China,Colombo,Sri Lanka
Quia Earum,Maersk,1951,15500,Panama,45,Qingdao,China,New York-New Jersey,U.S.A.
Enim Recusandae,Mediterranean Shipping Company,1957,14500,Brazil,83,Shanghai,China,Jebel Ali,United Arab Emirates
Quae Dolorem,Mediterranean Shipping Company,1979,12900,Moldova,43,Port Klang,Malaysia,Shanghai,China
Recusandae Ut,CMA CGM,2004,13700,Norfolk Island,99,Xiamen,China,Savannah,U.S.A.
Earum Cupiditate,Zhonggu Logistics,1974,8500,Central African Republic,117,Guangzhou Harbor,China,Ho Chi Minh City,Vietnam
Reiciendis Nam,CMA CGM,1996,6500,Taiwan,108,Ningbo-Zhoushan,China,Antwerp,Belgium
Et Adipisci,Maersk,1992,16200,Antarctica (the territory South of 60 deg S),107,Mundra,India,Dalian,China
Neque Quia,Hapag-Lloyd,1980,6400,Kyrgyz Republic,65,Yingkou,China,Ho Chi Minh City,Vietnam
Sit Quis,CMA CGM,1952,7000,New Caledonia,112,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Colon,Panama
Quia Eum,Hapag-Lloyd,1981,15900,Marshall Islands,25,Busan,South Korea,Salalah,Oman
Eos Sunt,Mediterranean Shipping Company,1957,16900,Benin,67,Hong Kong,China,Keihin Ports,Japan
Accusamus Possimus,Maersk,1986,18000,New Caledonia,82,Algeciras,Spain,Laem Chabang,Thailand
Cum Atque,COSCO Shipping,1967,11300,Cayman Islands,54,Manila,Philippines,Shanghai,China
Et Eum,Maersk,1959,7400,Mayotte,114,Shenzhen,China,Manila,Philippines
Quam Distinctio,Mediterranean Shipping Company,2018,11800,Macao,48,Hong Kong,China,Jebel Ali,United Arab Emirates
Cumque Voluptas,Mediterranean Shipping Company,2002,15200,Afghanistan,21,Lianyunguang,China,Los Angeles,U.S.A.
Laborum Placeat,Mediterranean Shipping Company,1971,10400,Belarus,55,Ningbo-Zhoushan,China,Busan,South Korea
Expedita Esse,Regional Container Lines,2009,17300,Czech Republic,37,Shenzhen,China,Colombo,Sri Lanka
Ipsum Temporibus,Mediterranean Shipping Company,2020,17800,Belize,112,Rotterdam,The Netherlands,Tianjin,China
Corporis Omnis,COSCO Shipping,1955,17700,Lebanon,85,Singapore,Singapore,Yingkou,China
Repellat Soluta,Mediterranean Shipping Company,1990,16200,Switzerland,38,Algeciras,Spain,Colombo,Sri Lanka
Eveniet Voluptate,Yang Ming Marine Transport Corporation,1981,7600,Barbados,114,Ningbo-Zhoushan,China,Felixstowe,U.K.
Quis Commodi,Global Feeder Shipping,1982,6500,Ghana,108,Hong Kong,China,Ho Chi Minh City,Vietnam
Ipsum Sequi,Korea Marine Transport Company [de],1961,9000,Puerto Rico,33,Rotterdam,The Netherlands,Busan,South Korea
Voluptates Voluptates,Maersk,1961,13400,Montserrat,84,Busan,South Korea,Singapore,Singapore
Quia Vel,Wan Hai Lines,1953,12600,Mayotte,23,Tianjin,China,Vancouver,Canada
Blanditiis Eius,TS Lines,1973,6300,Lesotho,44,Laem Chabang,Thailand,Ho Chi Minh City,Vietnam
Omnis Officia,CMA CGM,2015,6000,Italy,106,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Qingdao,China
Eum Sint,Maersk,1953,8100,Democratic People's Republic of Korea,74,Ho Chi Minh City,Vietnam,Guangzhou Harbor,China
Non Non,Mediterranean Shipping Company,1961,9800,Liberia,23,Qingdao,China,Manila,Philippines
Ex Omnis,Hapag-Lloyd,1971,12100,Jordan,99,Hanshin Port,Japan,Piraeus,Greece
Quidem Quas,Maersk,1961,16200,Portugal,45,Rotterdam,The Netherlands,Colombo,Sri Lanka
Fuga Dolore,Mediterranean Shipping Company,1990,15900,Argentina,116,Fuzhou,China,Singapore,Singapore
Cumque Aut,Maersk,1954,11000,Finland,51,Kaohsiung,Taiwan,Ningbo-Zhoushan,China
Animi Officiis,Antong Holdings (QASC),2011,11400,Botswana,90,Busan,South Korea,Seattle-Tacoma NW Seaport Alliance,U.S.A.
Vel Voluptatum,X-Press Feeders,1959,9800,Bangladesh,91,Xiamen,China,Tokyo,Japan
Rerum Eos,CMA CGM,1959,2700,Pakistan,47,Xiamen,China,Singapore,Singapore
Tenetur Numquam,CMA CGM,1963,16900,Sierra Leone,56,Shenzhen,China,Tanjung Priok,Indonesia
Labore Dolores,Maersk,1963,11300,Heard Island and McDonald Islands,74,Shenzhen,China,Bremen/Bremerhaven,Germany
Recusandae Iusto,COSCO Shipping,2008,10000,Japan,43,Shanghai,China,Tanjung Pelepas,Malaysia
Officiis Qui,Swire,1992,2900,Trinidad and Tobago,118,Laem Chabang,Thailand,Tanjung Priok,Indonesia
Molestiae Doloremque,Mediterranean Shipping Company,2011,7900,Liberia,75,Hanshin Port,Japan,Hong Kong,China
Dolores Non,Pacific International Lines,1980,8200,Guatemala,60,Rotterdam,The Netherlands,Singapore,Singapore
Illum Optio,IRISL Group,2005,4500,Malawi,69,Singapore,Singapore,New York-New Jersey,U.S.A.
Dicta Nostrum,Matson,1970,16700,Togo,74,Shanghai,China,Piraeus,Greece
Est Eum,Maersk,1976,15300,Tonga,83,Qingdao,China,Singapore,Singapore
Adipisci Odit,Hyundai Merchant Marine,1984,17100,Belarus,89,Guangzhou Harbor,China,Port Klang,Malaysia
Debitis Optio,COSCO Shipping,2019,9200,Tunisia,58,Tanjung Pelepas,Malaysia,Santos,Brazil
Fuga Qui,Maersk,2014,11600,Costa Rica,59,Cai Mep,Vietnam,Jebel Ali,United Arab Emirates
In Et,Ocean Network Express,1991,12000,Puerto Rico,110,Guangzhou Harbor,China,Singapore,Singapore
Quo Ut,Shandong International Transportation Corporation,1983,5900,Sierra Leone,41,Ningbo-Zhoushan,China,Jeddah,Saudi Arabia
Accusamus Accusamus,Mediterranean Shipping Company,1998,6200,"Virgin Islands, British",94,Dalian,China,Port Klang,Malaysia
Impedit Impedit,CMA CGM,1952,14100,Cote d'Ivoire,108,Piraeus,Greece,Manila,Philippines
Magnam Ea,Mediterranean Shipping Company,1952,17200,Saudi Arabia,99,Ningbo-Zhoushan,China,Singapore,Singapore
Ut Rerum,Mediterranean Shipping Company,1954,12500,Tanzania,32,Lianyunguang,China,Long Beach,U.S.A.
Rerum Officiis,CMA CGM,1969,9500,Palau,97,Shanghai,China,Singapore,Singapore
Qui At,Zim Integrated Shipping Services,1996,9400,Jamaica,40,Santos,Brazil,Dalian,China
Quo Occaecati,COSCO Shipping,1954,17700,Panama,82,Bremen/Bremerhaven,Germany,Guangzhou Harbor,China
Itaque Consequatur,Antong Holdings (QASC),2015,7600,Paraguay,65,Ho Chi Minh City,Vietnam,Jebel Ali,United Arab Emirates
Qui Sed,Maersk,2004,12900,Czech Republic,52,Ningbo-Zhoushan,China,Colombo,Sri Lanka
Eum Maxime,Maersk,1995,10100,Estonia,64,Los Angeles,U.S.A.,Ningbo-Zhoushan,China
Est Molestias,Yang Ming Marine Transport Corporation,2004,16500,Niue,45,Jawarharlal Nehru Port (Nhava Sheva),India,Seattle-Tacoma NW Seaport Alliance,U.S.A.
Ad Et,COSCO Shipping,2008,15200,French Southern Territories,92,Mundra,India,Busan,South Korea
Quisquam Rerum,Wan Hai Lines,1963,15200,Equatorial Guinea,62,Ningbo-Zhoushan,China,Jeddah,Saudi Arabia
In Modi,Hapag-Lloyd,1982,5500,Antarctica (the territory South of 60 deg S),81,Busan,South Korea,Antwerp,Belgium
Eveniet Animi,Zhonggu Logistics,1979,7500,Norfolk Island,101,Antwerp,Belgium,Marsaxlokk,Malta
Ea Officiis,Mediterranean Shipping Company,1965,16600,Iraq,49,Singapore,Singapore,Tanjung Priok,Indonesia
Non Consequatur,Hapag-Lloyd,1972,14700,Saudi Arabia,50,Salalah,Oman,Shenzhen,China
Quae Molestiae,Mediterranean Shipping Company,1980,2300,Congo,101,Felixstowe,U.K.,Singapore,Singapore
Qui Qui,Mediterranean Shipping Company,1969,14300,France,38,Shanghai,China,Rotterdam,The Netherlands
Aliquam Ut,Evergreen Marine,2013,7700,Paraguay,29,Xiamen,China,Singapore,Singapore
Consequatur Aliquam,Maersk,1997,8300,Bouvet Island (Bouvetoya),58,Kaohsiung,Taiwan,Busan,South Korea
Nostrum Voluptas,Zhonggu Logistics,1989,12800,Israel,37,Shanghai,China,Manila,Philippines
Deserunt Commodi,Sinotrans,1976,13100,Anguilla,36,Shanghai,China,Hamburg,Germany
Quia Aliquid,CMA CGM,2018,13900,Barbados,103,Port Klang,Malaysia,Piraeus,Greece
Dolorem Aut,Maersk,2008,14300,Guadeloupe,66,Jebel Ali,United Arab Emirates,Rotterdam,The Netherlands
Quae Incidunt,Ocean Network Express,1956,9600,Palau,52,Qingdao,China,Mundra,India
Sit Et,Antong Holdings (QASC),1966,16300,Honduras,55,Ningbo-Zhoushan,China,Tanjung Pelepas,Malaysia
Tenetur Eius,Ocean Network Express,1963,11900,Bahrain,72,Hamburg,Germany,Los Angeles,U.S.A.
Dolor Provident,Maersk,1959,3900,Dominican Republic,85,Singapore,Singapore,Antwerp,Belgium
Alias Impedit,CMA CGM,2005,11300,Maldives,30,Busan,South Korea,Tanjung Pelepas,Malaysia
Nam Repellat,Maersk,1981,6600,Canada,23,Los Angeles,U.S.A.,Ho Chi Minh City,Vietnam
Recusandae Exercitationem,COSCO Shipping,2008,16800,Tonga,85,Jebel Ali,United Arab Emirates,Tokyo,Japan
Dolor Pariatur,Yang Ming Marine Transport Corporation,1956,1300,Haiti,112,Qingdao,China,Barcelona,Spain
Omnis Repellat,CMA CGM,2014,15900,Gabon,115,Laem Chabang,Thailand,Keihin Ports,Japan
Dolorem Omnis,CMA CGM,1959,17800,Congo,55,Jebel Ali,United Arab Emirates,Salalah,Oman
Totam Praesentium,Shandong International Transportation Corporation,2015,10200,Heard Island and McDonald Islands,43,Ningbo-Zhoushan,China,Los Angeles,U.S.A.
Itaque Sint,COSCO Shipping,1977,14300,Ecuador,76,Singapore,Singapore,Dalian,China
Et Impedit,CMA CGM,1954,15900,Jordan,98,Ningbo-Zhoushan,China,Tanjung Pelepas,Malaysia
Temporibus Totam,Maersk,2015,12100,Faroe Islands,53,Colon,Panama,Busan,South Korea
Voluptatem Aliquam,Yang Ming Marine Transport Corporation,1981,6900,Tajikistan,117,Hamburg,Germany,Shenzhen,China
Hic Qui,Zim Integrated Shipping Services,1982,10700,Brazil,108,Colombo,Sri Lanka,Hamburg,Germany
Sed Odio,Korea Marine Transport Company [de],2015,12300,San Marino,43,Hong Kong,China,Busan,South Korea
Harum Autem,Zhonggu Logistics,1998,8500,India,106,Busan,South Korea,Jebel Ali,United Arab Emirates
Enim Fugiat,Unifeeder,1987,13800,Morocco,45,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Singapore,Singapore
Voluptas Autem,CMA CGM,1956,14500,Botswana,35,Singapore,Singapore,Long Beach,U.S.A.
Numquam Repudiandae,Matson,1963,6200,South Georgia and the South Sandwich Islands,26,Keihin Ports,Japan,Ningbo-Zhoushan,China
Suscipit Deleniti,Maersk,1978,12700,Kiribati,34,Port Klang,Malaysia,Lianyunguang,China
Quas Esse,Zim Integrated Shipping Services,1970,13800,Gibraltar,21,Shanghai,China,Kaohsiung,Taiwan
Necessitatibus Doloribus,Evergreen Marine,1956,7400,Isle of Man,66,Laem Chabang,Thailand,Rotterdam,The Netherlands
Minima Fugiat,TS Lines,1963,11600,Suriname,31,Singapore,Singapore,Rizhao,China
Esse Autem,COSCO Shipping,2004,16600,Honduras,78,Qingdao,China,Jebel Ali,United Arab Emirates
Aliquam Sit,Mediterranean Shipping Company,2019,12000,Tokelau,67,Kaohsiung,Taiwan,Yingkou,China
Animi Et,COSCO Shipping,1965,3000,Kazakhstan,90,Qingdao,China,Singapore,Singapore
Modi Rerum,Maersk,1953,17000,Lesotho,71,Shenzhen,China,Rotterdam,The Netherlands
Ratione Voluptas,Mediterranean Shipping Company,1951,15200,Belarus,35,Salalah,Oman,Tanjung Pelepas,Malaysia
Veritatis Sed,CMA CGM,2010,11100,Sierra Leone,52,Yingkou,China,Singapore,Singapore
Sit Exercitationem,Hapag-Lloyd,2002,12500,United Kingdom,112,Busan,South Korea,Vancouver,Canada
Quaerat Sed,SM Line,1987,1300,Benin,30,New York-New Jersey,U.S.A.,Shanghai,China
Voluptatem Sit,Ocean Network Express,2021,6100,Czech Republic,28,Ningbo-Zhoushan,China,Ho Chi Minh City,Vietnam
Totam Modi,CMA CGM,1974,10800,Malaysia,103,Manila,Philippines,Rotterdam,The Netherlands
Ex Sed,X-Press Feeders,1961,5800,Switzerland,72,Busan,South Korea,Jebel Ali,United Arab Emirates
Nulla Amet,Maersk,2018,16900,Togo,118,Laem Chabang,Thailand,Long Beach,U.S.A.
Quod Natus,Maersk,2011,17000,Saint Pierre and Miquelon,87,Busan,South Korea,Shenzhen,China
Autem Laudantium,CMA CGM,1983,17100,Ecuador,39,Shenzhen,China,Rotterdam,The Netherlands
Iure Omnis,Unifeeder,1960,16100,Denmark,30,Singapore,Singapore,Hong Kong,China
Amet Ullam,COSCO Shipping,2018,10100,Azerbaijan,22,Mundra,India,Yingkou,China
Consequatur Ducimus,Evergreen Marine,2021,5900,Kuwait,34,Keihin Ports,Japan,Hamburg,Germany
Asperiores Exercitationem,Yang Ming Marine Transport Corporation,1999,9700,Cambodia,83,Hong Kong,China,Seattle-Tacoma NW Seaport Alliance,U.S.A.
Impedit Incidunt,Swire,2002,6700,Armenia,102,Jeddah,Saudi Arabia,Rizhao,China
Sint Aliquid,CMA CGM,1972,11600,United Arab Emirates,56,Yingkou,China,Savannah,U.S.A.
Minus Temporibus,COSCO Shipping,1967,13700,Liechtenstein,66,Hong Kong,China,Busan,South Korea
Nisi Esse,Maersk,2017,15100,Ukraine,85,Port Klang,Malaysia,Qingdao,China
Nihil Tempore,CMA CGM,1961,14600,Hungary,115,Mundra,India,Xiamen,China
Eveniet Enim,Hapag-Lloyd,1995,14100,Switzerland,80,Rotterdam,The Netherlands,Ningbo-Zhoushan,China
Ea Sed,COSCO Shipping,1984,8500,Bosnia and Herzegovina,36,Yingkou,China,Tanjung Pelepas,Malaysia
Aperiam Quasi,Hapag-Lloyd,2021,14100,Equatorial Guinea,25,Tianjin,China,Marsaxlokk,Malta
Beatae Sed,CMA CGM,1978,2500,Mauritius,106,Jebel Ali,United Arab Emirates,Dongguan,China
Voluptatibus Deserunt,COSCO Shipping,1955,8600,Eritrea,109,Dalian,China,Port Klang,Malaysia
Est Illum,Mediterranean Shipping Company,1958,18000,France,87,Tianjin,China,Antwerp,Belgium
Praesentium Sed,Ocean Network Express,1998,16300,Russian Federation,115,Shanghai,China,Laem Chabang,Thailand
Sit Dolores,Antong Holdings (QASC),1958,9100,Niger,48,Qingdao,China,Colombo,Sri Lanka
Rem Labore,Evergreen Marine,2005,8400,Guernsey,102,Shanghai,China,Port Klang,Malaysia
Qui Optio,Hapag-Lloyd,2002,11200,Kiribati,40,Xiamen,China,Bremen/Bremerhaven,Germany
Omnis Voluptatem,IRISL Group,1968,12300,Australia,77,Guangzhou Harbor,China,Keihin Ports,Japan
Tempora Corporis,COSCO Shipping,1954,12700,Liberia,36,Busan,South Korea,Savannah,U.S.A.
Atque Qui,Global Feeder Shipping,2021,8000,Ecuador,61,Singapore,Singapore,Los Angeles,U.S.A.
Aperiam Maiores,Maersk,2007,11200,Nepal,60,Shenzhen,China,Jebel Ali,United Arab Emirates
Eligendi Ut,Maersk,1984,5200,Barbados,112,Singapore,Singapore,Ho Chi Minh City,Vietnam
Autem Mollitia,Evergreen Marine,1986,14500,Suriname,77,Xiamen,China,Bremen/Bremerhaven,Germany
Suscipit Eos,Global Feeder Shipping,1979,12700,Sierra Leone,45,Hong Kong,China,Bremen/Bremerhaven,Germany
Quia Qui,Ocean Network Express,2011,15800,French Guiana,70,Ningbo-Zhoushan,China,Busan,South Korea
Odio Vel,CMA CGM,2010,15900,Slovakia (Slovak Republic),64,Algeciras,Spain,Jawarharlal Nehru Port (Nhava Sheva),India
Nisi Voluptas,CMA CGM,1989,7100,Angola,89,Long Beach,U.S.A.,Rizhao,China
Ex Impedit,Salam Pacific Indonesia Lines,1985,12100,Svalbard & Jan Mayen Islands,108,Vancouver,Canada,Seattle-Tacoma NW Seaport Alliance,U.S.A.
Ipsam Ex,Yang Ming Marine Transport Corporation,1970,17500,Reunion,81,Marsaxlokk,Malta,Shanghai,China
Eum Aspernatur,Yang Ming Marine Transport Corporation,1968,9200,Saint Kitts and Nevis,22,Shanghai,China,Port Klang,Malaysia
Omnis Quia,Maersk,1964,14100,Chad,95,Tanjung Priok,Indonesia,Busan,South Korea
Nisi Perspiciatis,COSCO Shipping,1958,11300,Paraguay,114,Shenzhen,China,Hamburg,Germany
Aperiam In,Wan Hai Lines,1967,9000,"Virgin Islands, British",114,Singapore,Singapore,Ningbo-Zhoushan,China
Ut Facilis,Evergreen Marine,1994,9100,Bahrain,95,Ningbo-Zhoushan,China,Antwerp,Belgium
Aperiam Repellendus,Maersk,1983,12100,Saint Barthelemy,21,Shenzhen,China,Rotterdam,The Netherlands
Maxime Ratione,Sinotrans,2013,15200,Venezuela,104,Rizhao,China,Jawarharlal Nehru Port (Nhava Sheva),India
Ducimus Sit,Zhonggu Logistics,1950,11900,Qatar,39,Jawarharlal Nehru Port (Nhava Sheva),India,Tanjung Pelepas,Malaysia
Est Consequatur,CMA CGM,1984,13000,Albania,26,Jebel Ali,United Arab Emirates,Ningbo-Zhoushan,China
Sunt Aut,Sinotrans,1953,15300,Central African Republic,101,Tianjin,China,Port Klang,Malaysia
Deleniti Impedit,Mediterranean Shipping Company,2012,4900,Italy,33,Guangzhou Harbor,China,Manila,Philippines
Sapiente Accusantium,CMA CGM,1988,5000,China,43,Port Klang,Malaysia,Busan,South Korea
Dolorem Quia,Zhonggu Logistics,1971,15800,Saint Barthelemy,88,Singapore,Singapore,Shanghai,China
Sequi Autem,Ocean Network Express,2007,10900,Niger,114,Shanghai,China,Piraeus,Greece
Odit Voluptates,Ocean Network Express,1980,7900,Monaco,113,Shanghai,China,Barcelona,Spain
Pariatur Voluptatem,COSCO Shipping,1990,3100,Mali,38,Felixstowe,U.K.,Guangzhou Harbor,China
Iusto Beatae,X-Press Feeders,2014,17100,Guyana,31,Ho Chi Minh City,Vietnam,Los Angeles,U.S.A.
Quod Et,Shandong International Transportation Corporation,1999,10600,Algeria,20,Tokyo,Japan,Xiamen,China
Commodi Cupiditate,Korea Marine Transport Company [de],2006,13800,Puerto Rico,89,Jebel Ali,United Arab Emirates,Ningbo-Zhoushan,China
Voluptatibus Quia,Hapag-Lloyd,1956,9800,Kenya,102,Guangzhou Harbor,China,Jeddah,Saudi Arabia
Nulla Natus,Ocean Network Express,1977,14500,Australia,95,Busan,South Korea,Hong Kong,China
Sint Commodi,Maersk,1970,14400,Mayotte,79,Singapore,Singapore,Shanghai,China
Vel Sit,Maersk,1993,9300,Cameroon,28,Busan,South Korea,Tianjin,China
Praesentium Exercitationem,CMA CGM,1972,8400,Nicaragua,28,Vancouver,Canada,Los Angeles,U.S.A.
Consequatur Aut,Maersk,2001,17300,Grenada,55,Singapore,Singapore,Guangzhou Harbor,China
Laudantium Cumque,CMA CGM,1967,16000,Tokelau,100,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Shenzhen,China
Officia Rerum,Swire,2001,3500,Montserrat,71,Los Angeles,U.S.A.,Ningbo-Zhoushan,China
Quisquam Ut,COSCO Shipping,1997,7800,Slovenia,102,Shenzhen,China,Felixstowe,U.K.
Explicabo Ratione,IRISL Group,2003,5100,Mauritius,43,Keihin Ports,Japan,Singapore,Singapore
Veritatis Praesentium,COSCO Shipping,1954,13400,South Africa,61,Dalian,China,Port Klang,Malaysia
Rem Assumenda,COSCO Shipping,2015,6800,India,88,Qingdao,China,Ho Chi Minh City,Vietnam
Veniam Vero,Ocean Network Express,1971,16800,Ethiopia,106,Shenzhen,China,Laem Chabang,Thailand
Ea Ut,Zim Integrated Shipping Services,1961,6400,Philippines,45,Ningbo-Zhoushan,China,Hanshin Port,Japan
Voluptatem Et,COSCO Shipping,2018,16100,Finland,108,Fuzhou,China,Tanjung Pelepas,Malaysia
Reprehenderit Enim,CMA CGM,1992,17500,Tanzania,29,Shanghai,China,Vancouver,Canada
Voluptatem Ex,Maersk,2016,12400,Saint Kitts and Nevis,46,Xiamen,China,Busan,South Korea
Quibusdam Quae,Antong Holdings (QASC),1998,8800,Belgium,91,Hamburg,Germany,Shanghai,China
Atque Doloribus,Mediterranean Shipping Company,2002,15100,Niger,83,Bremen/Bremerhaven,Germany,Qingdao,China
Architecto Exercitationem,Sinokor Merchant Marine,2015,12000,Norfolk Island,78,Santos,Brazil,Tanjung Pelepas,Malaysia
Quaerat Tempora,Maersk,1967,10200,Guernsey,71,Shenzhen,China,New York-New Jersey,U.S.A.
Eum Excepturi,Evergreen Marine,1962,12000,Gibraltar,74,Seattle-Tacoma NW Seaport Alliance,U.S.A.,Felixstowe,U.K.
Quis Voluptas,CMA CGM,2013,8100,Norfolk Island,76,Shanghai,China,Los Angeles,U.S.A.
Ad Nobis,Maersk,2012,13400,Algeria,101,Shenzhen,China,Hanshin Port,Japan
Doloremque Voluptatem,Mediterranean Shipping Company,1983,16300,Qatar,79,Singapore,Singapore,Colombo,Sri Lanka
Tenetur Modi,Maersk,1954,17700,Togo,115,Hong Kong,China,Hamburg,Germany
Voluptatum Et,COSCO Shipping,2002,11700,Ghana,118,Colombo,Sri Lanka,Hamburg,Germany
Corporis Minima,Maersk,2015,13800,Lao People's Democratic Republic,26,Guangzhou Harbor,China,Colon,Panama
Porro Provident,Sinokor Merchant Marine,2013,8400,Saudi Arabia,102,Los Angeles,U.S.A.,Busan,South Korea
Nihil Ullam,IRISL Group,1959,12800,Greenland,101,Dalian,China,Laem Chabang,Thailand
Debitis Animi,Evergreen Marine,1952,11900,Kazakhstan,116,Tianjin,China,Long Beach,U.S.A.
Quidem Voluptatem,Mediterranean Shipping Company,1955,4500,Albania,89,Jeddah,Saudi Arabia,Marsaxlokk,Malta
Velit Esse,Ocean Network Express,1986,17000,South Africa,94,Tanjung Pelepas,Malaysia,Bremen/Bremerhaven,Germany
Ullam Ut,COSCO Shipping,1987,6800,Malawi,88,Bremen/Bremerhaven,Germany,Rotterdam,The Netherlands
Veniam Est,COSCO Shipping,1993,6700,Central African Republic,36,Nanjing,China,Mundra,India
Impedit Ea,Zim Integrated Shipping Services,1970,11200,Saint Martin,33,Shanghai,China,Jeddah,Saudi Arabia
Ut Veritatis,CMA CGM,1992,12000,Swaziland,76,Vancouver,Canada,Singapore,Singapore
Expedita Id,X-Press Feeders,1974,16500,Saint Vincent and the Grenadines,60,Nanjing,China,Singapore,Singapore
Ut Officiis,Maersk,1984,5400,Faroe Islands,75,Mundra,India,Antwerp,Belgium
Quasi Distinctio,Maersk,1993,17500,Botswana,117,Kaohsiung,Taiwan,Savannah,U.S.A.
Enim Pariatur,Matson,1979,3600,Lebanon,28,Port Klang,Malaysia,Salalah,Oman
Deleniti Itaque,CMA CGM,2015,7500,Nigeria,96,Tanjung Priok,Indonesia,Ningbo-Zhoushan,China
Autem Earum,Ocean Network Express,1988,17100,Iceland,30,Qingdao,China,Busan,South Korea
Molestiae Est,CMA CGM,1968,11300,Egypt,29,Bremen/Bremerhaven,Germany,Shenzhen,China
Repellat Consequatur,CMA CGM,1969,15000,Grenada,98,Rotterdam,The Netherlands,Fuzhou,China
Aut Rem,Maersk,1984,17400,South Georgia and the South Sandwich Islands,66,Jebel Ali,United Arab Emirates,Laem Chabang,Thailand
Dolor Nostrum,Regional Container Lines,2010,7000,Tanzania,79,Shenzhen,China,Santos,Brazil
Consequatur Odit,Hyundai Merchant Marine,1979,17300,Barbados,49,Port Klang,Malaysia,Ningbo-Zhoushan,China
Magnam Est,Maersk,1979,16400,Mongolia,47,New York-New Jersey,U.S.A.,Guangzhou Harbor,China
Iusto Exercitationem,Arkas Container Transport,1970,6700,Hong Kong,34,Manila,Philippines,Hanshin Port,Japan
Ut Fuga,Shandong International Transportation Corporation,2016,17600,Ukraine,60,Colombo,Sri Lanka,Singapore,Singapore
Reprehenderit Id,Antong Holdings (QASC),1950,16100,Aruba,115,Keihin Ports,Japan,Piraeus,Greece
Ad Dolorum,Hapag-Lloyd,1982,8700,Saint Pierre and Miquelon,45,Piraeus,Greece,Guangzhou Harbor,China
Animi Dolor,Hyundai Merchant Marine,1955,10300,Kiribati,43,Tanjung Pelepas,Malaysia,Fuzhou,China
Soluta Sunt,Yang Ming Marine Transport Corporation,2013,2500,Luxembourg,115,Manila,Philippines,Shanghai,China
Voluptas Dolor,Maersk,1961,11700,Saint Pierre and Miquelon,38,Ningbo-Zhoushan,China,Tanjung Priok,Indonesia
Quis Est,Ocean Network Express,1960,6800,Montenegro,59,Busan,South Korea,Singapore,Singapore
Excepturi Libero,Maersk,1991,9900,Namibia,104,Tanjung Pelepas,Malaysia,Qingdao,China
Recusandae Illo,CMA CGM,1993,4200,Hong Kong,110,Singapore,Singapore,Jeddah,Saudi Arabia
Eos Doloremque,Mediterranean Shipping Company,1990,16100,United States of America,103,Tianjin,China,Laem Chabang,Thailand
Unde Commodi,COSCO Shipping,1952,15800,Hong Kong,64,Kaohsiung,Taiwan,Piraeus,Greece
Quaerat Itaque,Ocean Network Express,1981,11100,Zimbabwe,24,Busan,South Korea,New York-New Jersey,U.S.A.
Quis Magnam,Shandong International Transportation Corporation,1995,17100,Bolivia,48,Long Beach,U.S.A.,Dalian,China
Consequatur Ex,Maersk,2018,8400,Cyprus,73,Xiamen,China,Bremen/Bremerhaven,Germany
Voluptatem Repudiandae,Maersk,2000,17000,Bermuda,71,Tanjung Pelepas,Malaysia,Colombo,Sri Lanka
Ea Quam,Unifeeder,1987,10400,Pakistan,73,Savannah,U.S.A.,Ningbo-Zhoushan,China
In Aliquid,Hapag-Lloyd,2001,17500,Spain,112,Qingdao,China,Tanjung Priok,Indonesia
Corporis Ea,COSCO Shipping,2009,13900,Georgia,65,Kaohsiung,Taiwan,Tanjung Pelepas,Malaysia
Cupiditate Velit,Yang Ming Marine Transport Corporation,1961,10300,Taiwan,114,Vancouver,Canada,Shanghai,China
Ad Quo,Ocean Network Express,2000,9900,El Salvador,27,Tianjin,China,Rotterdam,The Netherlands
Maxime Eveniet,Global Feeder Shipping,1954,11200,Estonia,53,Jebel Ali,United Arab Emirates,Piraeus,Greece
Minima Molestias,Pacific International Lines,2020,4200,Timor-Leste,36,Qingdao,China,Piraeus,Greece
Qui Voluptatem,X-Press Feeders,1996,5200,Kenya,94,Yingkou,China,Busan,South Korea
Sit Voluptas,Korea Marine Transport Company [de],1996,14400,Azerbaijan,88,Port Klang,Malaysia,Laem Chabang,Thailand
Qui Mollitia,Maersk,1993,17300,El Salvador,103,Los Angeles,U.S.A.,Tanger Med,Morocco
Ipsam Hic,Regional Container Lines,2012,8300,Cook Islands,52,Rotterdam,The Netherlands,Shanghai,China
Deleniti Nemo,Mediterranean Shipping Company,1989,14100,Mauritius,46,Antwerp,Belgium,Port Klang,Malaysia
Distinctio Quisquam,Antong Holdings (QASC),1999,11200,Paraguay,85,Xiamen,China,Bremen/Bremerhaven,Germany
Et Itaque,Korea Marine Transport Company [de],1989,16700,Fiji,64,Guangzhou Harbor,China,Piraeus,Greece
Facilis Quibusdam,Hyundai Merchant Marine,1956,16700,Vietnam,49,Singapore,Singapore,Busan,South Korea
Odit Sint,Wan Hai Lines,2006,10500,Gabon,103,Tanjung Pelepas,Malaysia,Xiamen,China
